No.,名称,经度,纬度,值
308,0,118.828125000,33.046875000,250.365
309,0,120.234375000,33.046875000,228.595
310,0,121.640625000,33.046875000,206.826
311,0,123.046875000,33.046875000,15.297
312,0,124.453125000,33.046875000,-43.828
313,0,125.859375000,33.046875000,29.451
314,0,127.265625000,33.046875000,21.942
315,0,128.671875000,33.046875000,14.434
316,0,130.078125000,33.046875000,10.179
317,0,131.484375000,33.046875000,9.178
318,0,132.890625000,33.046875000,8.177
319,0,134.296875000,33.046875000,-1277.996
320,0,90.703125000,31.640625000,4240.743
321,0,92.109375000,31.640625000,3117.995
322,0,93.515625000,31.640625000,1995.247
323,0,94.921875000,31.640625000,1912.997
324,0,96.328125000,31.640625000,1742.497
325,0,97.734375000,31.640625000,1483.748
326,0,99.140625000,31.640625000,2450.996
327,0,100.546875000,31.640625000,3418.245
328,0,101.953125000,31.640625000,3561.369
329,0,103.359375000,31.640625000,2880.370
330,0,104.765625000,31.640625000,2199.372
331,0,106.171875000,31.640625000,1668.622
332,0,107.578125000,31.640625000,1240.498
333,0,108.984375000,31.640625000,914.999
334,0,110.390625000,31.640625000,589.499
335,0,111.796875000,31.640625000,293.000
336,0,113.203125000,31.640625000,220.000
337,0,114.609375000,31.640625000,370.499
338,0,116.015625000,31.640625000,520.999
339,0,117.421875000,31.640625000,455.499
340,0,118.828125000,31.640625000,411.865
341,0,120.234375000,31.640625000,390.095
342,0,121.640625000,31.640625000,198.566
343,0,123.046875000,31.640625000,7.037
344,0,124.453125000,31.640625000,-52.087
345,0,125.859375000,31.640625000,21.192
346,0,127.265625000,31.640625000,94.470
347,0,128.671875000,31.640625000,86.962
348,0,130.078125000,31.640625000,82.707
349,0,131.484375000,31.640625000,81.706
350,0,132.890625000,31.640625000,-1204.467
351,0,134.296875000,31.640625000,-2490.639
352,0,90.703125000,30.234375000,4179.993
353,0,92.109375000,30.234375000,3057.245
354,0,93.515625000,30.234375000,1934.497
355,0,94.921875000,30.234375000,811.749
356,0,96.328125000,30.234375000,641.249
357,0,97.734375000,30.234375000,1608.497
358,0,99.140625000,30.234375000,2575.746
359,0,100.546875000,30.234375000,3542.994
360,0,101.953125000,30.234375000,3686.119
361,0,103.359375000,30.234375000,3005.120
362,0,104.765625000,30.234375000,2324.121
363,0,106.171875000,30.234375000,1643.122
364,0,107.578125000,30.234375000,1214.998
365,0,108.984375000,30.234375000,889.499
366,0,110.390625000,30.234375000,563.999
367,0,111.796875000,30.234375000,238.500
368,0,113.203125000,30.234375000,165.500
369,0,114.609375000,30.234375000,316.000
370,0,116.015625000,30.234375000,466.499
371,0,117.421875000,30.234375000,616.999
372,0,118.828125000,30.234375000,573.364
373,0,120.234375000,30.234375000,381.836
374,0,121.640625000,30.234375000,190.307
375,0,123.046875000,30.234375000,-1.222
376,0,124.453125000,30.234375000,-60.347
377,0,125.859375000,30.234375000,12.932
378,0,127.265625000,30.234375000,86.211
379,0,128.671875000,30.234375000,159.490
380,0,130.078125000,30.234375000,155.235
381,0,131.484375000,30.234375000,-1130.937
382,0,132.890625000,30.234375000,-2417.110
383,0,134.296875000,30.234375000,-3703.282
384,0,90.703125000,28.828125000,3560.744
385,0,92.109375000,28.828125000,2437.996
386,0,93.515625000,28.828125000,1315.248
387,0,94.921875000,28.828125000,192.500
388,0,96.328125000,28.828125000,347.624
389,0,97.734375000,28.828125000,1314.873
390,0,99.140625000,28.828125000,2282.121
391,0,100.546875000,28.828125000,3249.370
392,0,101.953125000,28.828125000,3604.244
393,0,103.359375000,28.828125000,2923.245
394,0,104.765625000,28.828125000,2242.246
395,0,106.171875000,28.828125000,1561.248
396,0,107.578125000,28.828125000,1196.248
397,0,108.984375000,28.828125000,870.749
398,0,110.390625000,28.828125000,545.249
