No.,名称,经度,纬度,值
288,0,101.601562500,39.023437500,2021.497
289,0,102.304687500,39.023437500,1978.997
290,0,103.007812500,39.023437500,1936.497
291,0,103.710937500,39.023437500,1685.997
292,0,104.414062500,39.023437500,1560.623
293,0,105.117187500,39.023437500,1560.373
294,0,105.820312500,39.023437500,1560.123
295,0,106.523437500,39.023437500,1485.623
296,0,107.226562500,39.023437500,1399.248
297,0,107.929687500,39.023437500,1300.998
298,0,108.632812500,39.023437500,1325.748
299,0,109.335937500,39.023437500,1350.498
300,0,110.039062500,39.023437500,1323.123
301,0,110.742187500,39.023437500,1243.623
302,0,111.445312500,39.023437500,1164.123
303,0,112.148437500,39.023437500,1144.623
304,0,112.851562500,39.023437500,1018.873
305,0,113.554687500,39.023437500,786.874
306,0,114.257812500,39.023437500,554.874
307,0,114.960937500,39.023437500,264.375
308,0,115.664062500,39.023437500,104.166
309,0,116.367187500,39.023437500,74.250
310,0,117.070312500,39.023437500,44.333
311,0,117.773437500,39.023437500,14.416
312,0,118.476562500,39.023437500,-6.009
313,0,119.179687500,39.023437500,-1.006
314,0,119.882812500,39.023437500,-0.501
315,0,120.585937500,39.023437500,-0.501
316,0,121.289062500,39.023437500,-0.501
317,0,121.992187500,39.023437500,-0.501
318,0,122.695312500,39.023437500,-4.340
319,0,123.398437500,39.023437500,-27.562
320,0,101.601562500,38.320312500,2395.996
321,0,102.304687500,38.320312500,2353.496
322,0,103.007812500,38.320312500,2102.997
323,0,103.710937500,38.320312500,1852.497
324,0,104.414062500,38.320312500,1727.122
325,0,105.117187500,38.320312500,1726.872
326,0,105.820312500,38.320312500,1652.372
327,0,106.523437500,38.320312500,1577.872
328,0,107.226562500,38.320312500,1491.498
329,0,107.929687500,38.320312500,1393.248
330,0,108.632812500,38.320312500,1294.998
331,0,109.335937500,38.320312500,1319.748
332,0,110.039062500,38.320312500,1292.373
333,0,110.742187500,38.320312500,1212.873
334,0,111.445312500,38.320312500,1193.373
335,0,112.148437500,38.320312500,1173.873
336,0,112.851562500,38.320312500,1048.123
337,0,113.554687500,38.320312500,816.124
338,0,114.257812500,38.320312500,525.624
339,0,114.960937500,38.320312500,235.125
340,0,115.664062500,38.320312500,74.916
341,0,116.367187500,38.320312500,45.000
342,0,117.070312500,38.320312500,23.750
343,0,117.773437500,38.320312500,106.499
344,0,118.476562500,38.320312500,144.692
345,0,119.179687500,38.320312500,-0.501
346,0,119.882812500,38.320312500,-0.501
347,0,120.585937500,38.320312500,0.854
348,0,121.289062500,38.320312500,-0.501
349,0,121.992187500,38.320312500,-0.501
350,0,122.695312500,38.320312500,-2.092
351,0,123.398437500,38.320312500,-38.825
352,0,101.601562500,37.617187500,2770.496
353,0,102.304687500,37.617187500,2519.996
354,0,103.007812500,37.617187500,2269.497
355,0,103.710937500,37.617187500,2018.997
356,0,104.414062500,37.617187500,1893.622
357,0,105.117187500,37.617187500,1819.122
358,0,105.820312500,37.617187500,1744.622
359,0,106.523437500,37.617187500,1670.122
360,0,107.226562500,37.617187500,1583.747
361,0,107.929687500,37.617187500,1485.498
362,0,108.632812500,37.617187500,1387.248
363,0,109.335937500,37.617187500,1288.998
364,0,110.039062500,37.617187500,1261.623
365,0,110.742187500,37.617187500,1242.123
366,0,111.445312500,37.617187500,1222.623
367,0,112.148437500,37.617187500,1203.123
368,0,112.851562500,37.617187500,1077.373
369,0,113.554687500,37.617187500,786.874
370,0,114.257812500,37.617187500,496.374
371,0,114.960937500,37.617187500,205.875
372,0,115.664062500,37.617187500,45.667
373,0,116.367187500,37.617187500,93.750
374,0,117.070312500,37.617187500,176.500
375,0,117.773437500,37.617187500,259.249
376,0,118.476562500,37.617187500,245.695
377,0,119.179687500,37.617187500,66.380
378,0,119.882812500,37.617187500,4.826
379,0,120.585937500,37.617187500,21.479
380,0,121.289062500,37.617187500,46.782
381,0,121.992187500,37.617187500,-0.501
382,0,122.695312500,37.617187500,-3.444
383,0,123.398437500,37.617187500,-50.088
384,0,101.601562500,36.914062500,2930.120
385,0,102.304687500,36.914062500,2679.621
386,0,103.007812500,36.914062500,2429.121
387,0,103.710937500,36.914062500,2178.622
388,0,104.414062500,36.914062500,2165.247
389,0,105.117187500,36.914062500,2090.747
390,0,105.820312500,36.914062500,2016.247
391,0,106.523437500,36.914062500,1941.747
392,0,107.226562500,36.914062500,1603.372
393,0,107.929687500,36.914062500,1505.123
394,0,108.632812500,36.914062500,1406.873
395,0,109.335937500,36.914062500,1308.623
396,0,110.039062500,36.914062500,1266.498
397,0,110.742187500,36.914062500,1246.998
398,0,111.445312500,36.914062500,1227.498
399,0,112.148437500,36.914062500,1207.998
400,0,112.851562500,36.914062500,1062.498
401,0,113.554687500,36.914062500,771.999
402,0,114.257812500,36.914062500,481.499
403,0,114.960937500,36.914062500,191.000
404,0,115.664062500,36.914062500,42.625
405,0,116.367187500,36.914062500,125.375
406,0,117.070312500,36.914062500,208.125
407,0,117.773437500,36.914062500,290.875
408,0,118.476562500,36.914062500,281.126
409,0,119.179687500,36.914062500,175.571
410,0,119.882812500,36.914062500,69.857
411,0,120.585937500,36.914062500,7.666
412,0,121.289062500,36.914062500,-0.501
413,0,121.992187500,36.914062500,-0.501
414,0,122.695312500,36.914062500,-18.075
415,0,123.398437500,36.914062500,-54.915
416,0,101.601562500,36.210937500,3082.870
417,0,102.304687500,36.210937500,2832.371
418,0,103.007812500,36.210937500,2581.871
419,0,103.710937500,36.210937500,2629.621
420,0,104.414062500,36.210937500,2616.246
421,0,105.117187500,36.210937500,2541.746
422,0,105.820312500,36.210937500,2467.246
423,0,106.523437500,36.210937500,1888.747
424,0,107.226562500,36.210937500,1550.373
425,0,107.929687500,36.210937500,1452.123
426,0,108.632812500,36.210937500,1353.873
427,0,109.335937500,36.210937500,1289.123
428,0,110.039062500,36.210937500,1246.998
429,0,110.742187500,36.210937500,1227.498
430,0,111.445312500,36.210937500,1207.998
431,0,112.148437500,36.210937500,976.248
432,0,112.851562500,36.210937500,830.749
433,0,113.554687500,36.210937500,771.499
434,0,114.257812500,36.210937500,480.999
435,0,114.960937500,36.210937500,190.500
436,0,115.664062500,36.210937500,42.125
437,0,116.367187500,36.210937500,35.875
438,0,117.070312500,36.210937500,118.625
439,0,117.773437500,36.210937500,201.375
440,0,118.476562500,36.210937500,204.516
441,0,119.179687500,36.210937500,89.380
442,0,119.882812500,36.210937500,-0.501
443,0,120.585937500,36.210937500,-0.501
444,0,121.289062500,36.210937500,-0.501
445,0,121.992187500,36.210937500,-10.404
446,0,122.695312500,36.210937500,-23.079
447,0,123.398437500,36.210937500,-53.413
448,0,101.601562500,35.507812500,3235.620
449,0,102.304687500,35.507812500,2985.120
450,0,103.007812500,35.507812500,3032.870
451,0,103.710937500,35.507812500,3080.620
452,0,104.414062500,35.507812500,3067.245
453,0,105.117187500,35.507812500,2992.745
454,0,105.820312500,35.507812500,2414.246
455,0,106.523437500,35.507812500,1835.747
456,0,107.226562500,35.507812500,1497.373
457,0,107.929687500,35.507812500,1399.123
458,0,108.632812500,35.507812500,1334.373
459,0,109.335937500,35.507812500,1269.623
460,0,110.039062500,35.507812500,1227.498
461,0,110.742187500,35.507812500,1207.998
462,0,111.445312500,35.507812500,976.248
463,0,112.148437500,35.507812500,744.499
464,0,112.851562500,35.507812500,598.999
465,0,113.554687500,35.507812500,539.749
466,0,114.257812500,35.507812500,480.499
467,0,114.960937500,35.507812500,190.000
468,0,115.664062500,35.507812500,41.625
469,0,116.367187500,35.507812500,35.375
470,0,117.070312500,35.507812500,29.125
471,0,117.773437500,35.507812500,111.875
472,0,118.476562500,35.507812500,115.016
473,0,119.179687500,35.507812500,38.548
474,0,119.882812500,35.507812500,-0.501
475,0,120.585937500,35.507812500,-0.501
476,0,121.289062500,35.507812500,-8.122
477,0,121.992187500,35.507812500,-20.798
478,0,122.695312500,35.507812500,-33.473
479,0,123.398437500,35.507812500,-51.911
480,0,101.601562500,34.804687500,3388.370
481,0,102.304687500,34.804687500,3436.120
482,0,103.007812500,34.804687500,3483.869
483,0,103.710937500,34.804687500,3531.619
484,0,104.414062500,34.804687500,3518.244
485,0,105.117187500,34.804687500,2939.745
486,0,105.820312500,34.804687500,2361.246
487,0,106.523437500,34.804687500,1782.747
488,0,107.226562500,34.804687500,1444.373
489,0,107.929687500,34.804687500,1379.623
490,0,108.632812500,34.804687500,1314.873
491,0,109.335937500,34.804687500,1250.123
492,0,110.039062500,34.804687500,1207.998
493,0,110.742187500,34.804687500,976.248
494,0,111.445312500,34.804687500,744.499
495,0,112.148437500,34.804687500,512.749
496,0,112.851562500,34.804687500,367.249
497,0,113.554687500,34.804687500,308.000
498,0,114.257812500,34.804687500,248.750
499,0,114.960937500,34.804687500,189.500
500,0,115.664062500,34.804687500,41.125
501,0,116.367187500,34.804687500,34.875
502,0,117.070312500,34.804687500,28.625
503,0,117.773437500,34.804687500,22.375
504,0,118.476562500,34.804687500,25.516
505,0,119.179687500,34.804687500,9.042
506,0,119.882812500,34.804687500,3.494
507,0,120.585937500,34.804687500,-3.218
508,0,121.289062500,34.804687500,-20.539
509,0,121.992187500,34.804687500,-31.318
510,0,122.695312500,34.804687500,-43.868
511,0,123.398437500,34.804687500,-56.543
512,0,101.601562500,34.101562500,3206.245
513,0,102.304687500,34.101562500,3253.995
514,0,103.007812500,34.101562500,3301.745
515,0,103.710937500,34.101562500,3349.495
516,0,104.414062500,34.101562500,3084.120
517,0,105.117187500,34.101562500,2505.621
518,0,105.820312500,34.101562500,1927.122
519,0,106.523437500,34.101562500,1348.623
520,0,107.226562500,34.101562500,1414.873
521,0,107.929687500,34.101562500,1350.123
522,0,108.632812500,34.101562500,1285.373
523,0,109.335937500,34.101562500,1220.623
524,0,110.039062500,34.101562500,1072.373
525,0,110.742187500,34.101562500,840.624
526,0,111.445312500,34.101562500,608.874
527,0,112.148437500,34.101562500,377.124
528,0,112.851562500,34.101562500,260.125
529,0,113.554687500,34.101562500,200.875
530,0,114.257812500,34.101562500,141.625
531,0,114.960937500,34.101562500,82.375
532,0,115.664062500,34.101562500,49.625
533,0,116.367187500,34.101562500,43.375
534,0,117.070312500,34.101562500,37.125
535,0,117.773437500,34.101562500,30.875
536,0,118.476562500,34.101562500,18.187
537,0,119.179687500,34.101562500,11.312
538,0,119.882812500,34.101562500,4.437
539,0,120.585937500,34.101562500,-0.065
540,0,121.289062500,34.101562500,-19.297
541,0,121.992187500,34.101562500,-30.073
542,0,122.695312500,34.101562500,-40.850
543,0,123.398437500,34.101562500,-56.187
544,0,101.601562500,33.398437500,3322.245
545,0,102.304687500,33.398437500,2438.746
546,0,103.007812500,33.398437500,2486.496
547,0,103.710937500,33.398437500,2534.246
548,0,104.414062500,33.398437500,2268.871
549,0,105.117187500,33.398437500,1690.372
550,0,105.820312500,33.398437500,1111.873
551,0,106.523437500,33.398437500,1050.623
552,0,107.226562500,33.398437500,1116.873
553,0,107.929687500,33.398437500,1310.623
554,0,108.632812500,33.398437500,1245.873
555,0,109.335937500,33.398437500,1181.123
556,0,110.039062500,33.398437500,1032.873
557,0,110.742187500,33.398437500,801.124
558,0,111.445312500,33.398437500,569.374
559,0,112.148437500,33.398437500,317.375
560,0,112.851562500,33.398437500,200.375
561,0,113.554687500,33.398437500,218.375
562,0,114.257812500,33.398437500,159.125
563,0,114.960937500,33.398437500,99.875
564,0,115.664062500,33.398437500,67.125
565,0,116.367187500,33.398437500,60.875
566,0,117.070312500,33.398437500,54.625
567,0,117.773437500,33.398437500,36.125
568,0,118.476562500,33.398437500,23.437
569,0,119.179687500,33.398437500,16.562
570,0,119.882812500,33.398437500,9.214
571,0,120.585937500,33.398437500,1.015
572,0,121.289062500,33.398437500,-0.501
573,0,121.992187500,33.398437500,-12.126
574,0,122.695312500,33.398437500,-32.405
575,0,123.398437500,33.398437500,-52.683
576,0,101.601562500,32.695312500,3438.244
577,0,102.304687500,32.695312500,2554.746
578,0,103.007812500,32.695312500,1671.247
579,0,103.710937500,32.695312500,1718.997
580,0,104.414062500,32.695312500,1453.623
581,0,105.117187500,32.695312500,875.124
582,0,105.820312500,32.695312500,813.874
583,0,106.523437500,32.695312500,752.624
584,0,107.226562500,32.695312500,818.874
585,0,107.929687500,32.695312500,1012.623
586,0,108.632812500,32.695312500,1206.373
587,0,109.335937500,32.695312500,1141.623
588,0,110.039062500,32.695312500,993.373
589,0,110.742187500,32.695312500,761.624
590,0,111.445312500,32.695312500,509.624
591,0,112.148437500,32.695312500,257.625
592,0,112.851562500,32.695312500,140.625
593,0,113.554687500,32.695312500,158.625
594,0,114.257812500,32.695312500,176.625
595,0,114.960937500,32.695312500,117.375
596,0,115.664062500,32.695312500,84.625
597,0,116.367187500,32.695312500,78.375
598,0,117.070312500,32.695312500,59.875
599,0,117.773437500,32.695312500,41.375
600,0,118.476562500,32.695312500,28.687
601,0,119.179687500,32.695312500,21.529
602,0,119.882812500,32.695312500,13.329
603,0,120.585937500,32.695312500,5.129
604,0,121.289062500,32.695312500,-0.501
605,0,121.992187500,32.695312500,-1.807
606,0,122.695312500,32.695312500,-28.901
607,0,123.398437500,32.695312500,-49.179
608,0,101.601562500,31.992187500,3554.244
609,0,102.304687500,31.992187500,2670.746
610,0,103.007812500,31.992187500,1787.247
611,0,103.710937500,31.992187500,903.749
612,0,104.414062500,31.992187500,638.374
613,0,105.117187500,31.992187500,577.124
614,0,105.820312500,31.992187500,515.874
615,0,106.523437500,31.992187500,454.624
616,0,107.226562500,31.992187500,520.874
617,0,107.929687500,31.992187500,714.624
618,0,108.632812500,31.992187500,908.374
619,0,109.335937500,31.992187500,1102.123
620,0,110.039062500,31.992187500,953.874
621,0,110.742187500,31.992187500,701.874
622,0,111.445312500,31.992187500,449.874
623,0,112.148437500,31.992187500,197.875
624,0,112.851562500,31.992187500,80.875
625,0,113.554687500,31.992187500,98.875
626,0,114.257812500,31.992187500,116.875
627,0,114.960937500,31.992187500,134.875
628,0,115.664062500,31.992187500,102.125
629,0,116.367187500,31.992187500,83.625
630,0,117.070312500,31.992187500,65.125
631,0,117.773437500,31.992187500,46.625
632,0,118.476562500,31.992187500,33.843
633,0,119.179687500,31.992187500,25.643
634,0,119.882812500,31.992187500,17.148
635,0,120.585937500,31.992187500,7.898
636,0,121.289062500,31.992187500,1.250
637,0,121.992187500,31.992187500,-0.501
638,0,122.695312500,31.992187500,-19.598
639,0,123.398437500,31.992187500,-45.675
640,0,101.601562500,31.289062500,3616.619
641,0,102.304687500,31.289062500,2733.121
642,0,103.007812500,31.289062500,1849.622
643,0,103.710937500,31.289062500,966.123
644,0,104.414062500,31.289062500,625.624
645,0,105.117187500,31.289062500,564.374
646,0,105.820312500,31.289062500,503.124
647,0,106.523437500,31.289062500,441.874
648,0,107.226562500,31.289062500,280.875
649,0,107.929687500,31.289062500,474.624
650,0,108.632812500,31.289062500,668.374
651,0,109.335937500,31.289062500,862.124
652,0,110.039062500,31.289062500,926.624
653,0,110.742187500,31.289062500,674.624
654,0,111.445312500,31.289062500,422.624
655,0,112.148437500,31.289062500,170.625
656,0,112.851562500,31.289062500,53.625
657,0,113.554687500,31.289062500,71.625
658,0,114.257812500,31.289062500,89.625
659,0,114.960937500,31.289062500,107.625
660,0,115.664062500,31.289062500,182.875
661,0,116.367187500,31.289062500,164.375
662,0,117.070312500,31.289062500,145.875
663,0,117.773437500,31.289062500,127.375
664,0,118.476562500,31.289062500,113.500
665,0,119.179687500,31.289062500,104.250
666,0,119.882812500,31.289062500,95.000
667,0,120.585937500,31.289062500,85.750
668,0,121.289062500,31.289062500,-0.501
669,0,121.992187500,31.289062500,-0.501
670,0,122.695312500,31.289062500,-3.651
671,0,123.398437500,31.289062500,-37.158
672,0,101.601562500,30.585937500,3625.369
673,0,102.304687500,30.585937500,2741.871
